Full dataset,,,,,,,,,,,,,,,,,
,Field labels,GP7,SrpI-like,Gp13-like,Gp10A-like,Phage_cap_E,P22_CoatProtein,Phage_capsid,Phage_capsid_2,Linocin_M18,L_lactis_ph-MCP,DUF2184,ENC_III,ENCP4,DUF6260,DUF5309,Total
,Notes,,,,,,,,,,,,,,,,
,Generated_by,Co_occurrence_tkinter.py,,,,,,,,,,,,,,,
,Date,12/1/25,,,,,,,,,,,,,,,
Control_DTR_259189_18,Control_DTR_259189_18,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_286245_8,Control_DTR_286245_8,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,2
Mini_DTR_835282_9,Mini_DTR_835282_9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Control_DTR_263611_12,Control_DTR_263611_12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_034282_4,Control_DTR_034282_4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_125660_19,Mini_DTR_125660_19,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_325279_11,Control_DTR_325279_11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mini_DTR_141313_7,Mini_DTR_141313_7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_423774_1,Mini_DTR_423774_1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Mini_DTR_738091_6,Mini_DTR_738091_6,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2
Control_DTR_702363_12,Control_DTR_702363_12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Mini_DTR_274065_9,Mini_DTR_274065_9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Control_DTR_423428_6,Control_DTR_423428_6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
